pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FS,2025-11-01,87.5,-1.64,6.08,"Guerrero Jr., Vladimir",665489,660271,,ball,,,,,14.0,Ball,W,R,R,TOR,LAD,B,,,0,0,2025,-0.72,0.38,1.94,0.8,,543807.0,,1,3,Bot,,,,,,,10.192764648773784,-126.74274873715268,-7.275612084796826,-10.03489232409599,28.79237226369483,-26.63255365461762,3.67,1.59,,,,87.5,1246.0,6.8,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.71,,,,,,,,22,1,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,230.0,0.036,0.028,,,,-0.028,,0,0,0.577,0.577,30,26,31,26,2,1,4.0,1.0,,,2.65,0.72,0.72,46.4,,,,,
SI,2025-11-01,97.0,-1.45,5.94,"Guerrero Jr., Vladimir",665489,607192,field_out,hit_into_play,,,,,5.0,"Vladimir Guerrero Jr. grounds out, third baseman Max Muncy to first baseman Freddie Freeman.",W,R,R,TOR,LAD,X,5.0,ground_ball,1,0,2025,-1.27,1.1,-0.13,2.44,665926.0,,,2,6,Bot,105.38,160.71,,,,,6.646785017745798,-140.93576347327905,-6.401902550324896,-18.49084793944236,37.55763566791948,-16.181866972662547,3.67,1.61,5.0,77.0,-28.0,98.8,2381.0,7.7,813024,669257,518692,500743,571970,605141,571771,669242,606192,52.75,0.037,0.035,0.0,1.0,0.0,0.0,2.0,57,2,Sinker,4,2,4,2,2,4,4,2,Standard,Standard,190.0,-0.026,-0.302,78.4,7.3,0.038,0.302,88.0,2,2,0.841,0.841,31,26,32,26,2,3,1.0,1.0,,,1.36,1.27,1.27,53.9,-5.89560579903846,5.569962487451357,32.04720580626785,32.83852690227382,26.645299978137427
SL,2025-11-01,88.9,-1.44,5.97,"Guerrero Jr., Vladimir",665489,607192,,ball,,,,,14.0,Ball,W,R,R,TOR,LAD,B,,,0,0,2025,0.07,-0.33,1.11,1.95,665926.0,,,2,6,Bot,,,,,,,6.2465090417974825,-129.30316351469656,-3.126726529206209,-0.533567460227699,27.792876394004665,-35.42579980273732,3.6,1.71,,,,90.7,2613.0,7.5,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.0,,,,,,,,57,1,Slider,4,2,4,2,2,4,4,2,Standard,Standard,48.0,0.001,0.028,,,,-0.028,,2,2,0.84,0.84,31,26,32,26,2,3,1.0,1.0,,,3.23,-0.07,-0.07,55.4,,,,,
FF,2025-11-01,96.9,-2.01,5.25,"Guerrero Jr., Vladimir",665489,808967,double,hit_into_play,,,,,11.0,Vladimir Guerrero Jr. doubles (5) on a line drive to left fielder Enrique Hernández.,W,R,R,TOR,LAD,X,7.0,line_drive,3,2,2025,-0.61,1.54,-0.84,3.18,,,,0,11,Bot,42.95,114.89,,,,,4.518908967461919,-141.06066395234168,-3.4934683076249646,-9.146990531546487,34.60719424417645,-11.079126583865776,3.67,1.61,291.0,89.8,21.0,96.9,2284.0,6.5,813024,669257,518692,808975,571970,605141,571771,681909,681624,54.04,0.276,0.286,1.25,1.0,1.0,1.0,3.0,96,6,4-Seam Fastball,4,5,4,5,5,4,4,5,Standard,Strategic,218.0,0.224,0.631,74.7,7.0,0.411,-0.631,89.8,-1,-1,0.224,0.224,26,26,27,26,1,5,1.0,1.0,,,0.9,0.61,0.61,38.9,7.529482819883715,-14.931355123851406,30.96901212204304,24.214118091928423,30.655963307920366
FS,2025-11-01,91.3,-2.04,5.18,"Guerrero Jr., Vladimir",665489,808967,,ball,,,,,11.0,Ball,W,R,R,TOR,LAD,B,,,2,2,2025,-0.7,-0.05,-1.1,3.13,,,,0,11,Bot,,,,,,,3.869863209564208,-132.89991334627473,0.8416289394286836,-9.162119586470308,28.635462408582583,-33.21896510531522,3.67,1.51,,,,91.5,1324.0,6.4,813024,669257,518692,808975,571970,605141,571771,681909,681624,54.07,,,,,,,,96,5,Split-Finger,4,5,4,5,5,4,4,5,Standard,Strategic,239.0,0.029,0.112,,,,-0.112,,-1,-1,0.195,0.195,26,26,27,26,1,5,1.0,1.0,,,2.79,0.7,0.7,38.2,,,,,
FF,2025-11-01,96.2,-1.91,5.14,"Guerrero Jr., Vladimir",665489,808967,,called_strike,,,,,4.0,Called Strike,W,R,R,TOR,LAD,S,,,2,1,2025,-0.55,1.47,-0.6,2.75,,,,0,11,Bot,,,,,,,4.736369942166038,-140.02135659344304,-4.094974265889702,-8.316999860560571,33.83822479067637,-12.13490059763136,3.62,1.6,,,,96.2,2377.0,6.4,813024,669257,518692,808975,571970,605141,571771,681909,681624,54.06,,,,,,,,96,4,4-Seam Fastball,4,5,4,5,5,4,4,5,Strategic,Standard,209.0,-0.022,-0.073,,,,0.073,,-1,-1,0.217,0.217,26,26,27,26,1,5,1.0,1.0,,,1.0,0.55,0.55,37.9,,,,,
FC,2025-11-01,91.2,-2.0,5.14,"Guerrero Jr., Vladimir",665489,808967,,called_strike,,,,,5.0,Called Strike,W,R,R,TOR,LAD,S,,,2,0,2025,0.5,0.43,-0.19,2.68,,,,0,11,Bot,,,,,,,3.483319444405855,-132.8819809808871,-1.2346413838506043,5.198285728787626,27.826658892201127,-27.023354243262126,3.67,1.59,,,,91.5,2627.0,6.3,813024,669257,518692,808975,571970,605141,571771,681909,681624,54.18,,,,,,,,96,3,Cutter,4,5,4,5,5,4,4,5,Strategic,Standard,159.0,-0.027,-0.072,,,,0.072,,-1,-1,0.244,0.244,26,26,27,26,1,5,1.0,1.0,,,2.3,-0.5,-0.5,36.9,,,,,
FS,2025-11-01,92.1,-1.83,5.21,"Guerrero Jr., Vladimir",665489,808967,,ball,,,,,14.0,Ball,W,R,R,TOR,LAD,B,,,1,0,2025,-1.15,0.41,0.97,0.97,,,,0,11,Bot,,,,,,,9.651323225110238,-133.718505383064,-5.811185273962728,-15.965500831674651,29.981408328552583,-26.08780235206608,3.65,1.51,,,,92.4,1540.0,6.7,813024,669257,518692,808975,571970,605141,571771,681909,681624,53.84,,,,,,,,96,2,Split-Finger,4,5,4,5,5,4,4,5,Standard,Standard,232.0,0.027,0.077,,,,-0.077,,-1,-1,0.217,0.217,26,26,27,26,1,5,1.0,1.0,,,2.3,1.15,1.15,39.2,,,,,
FC,2025-11-01,91.1,-2.07,5.18,"Guerrero Jr., Vladimir",665489,808967,,ball,,,,,14.0,Ball,W,R,R,TOR,LAD,B,,,0,0,2025,0.59,0.46,1.02,1.8,,,,0,11,Bot,,,,,,,6.537578290848838,-132.63481823643548,-3.614130850222184,5.584131163189935,27.626923790891,-26.158693619684765,3.67,1.66,,,,91.5,2689.0,6.4,813024,669257,518692,808975,571970,605141,571771,681909,681624,54.06,,,,,,,,96,1,Cutter,4,5,4,5,5,4,4,5,Standard,Standard,152.0,0.013,0.041,,,,-0.041,,-1,-1,0.204,0.204,26,26,27,26,1,5,1.0,1.0,,,2.28,-0.59,-0.59,35.1,,,,,
FF,2025-11-01,99.6,-2.27,5.51,"Guerrero Jr., Vladimir",665489,660271,strikeout_double_play,called_strike,,,,,9.0,"Vladimir Guerrero Jr. called out on strikes and George Springer caught stealing 2nd, catcher Will Smith to second baseman Miguel Rojas to catcher Will Smith.",W,R,R,TOR,LAD,S,2.0,,3,2,2025,-0.35,0.95,0.54,2.19,,,543807.0,1,1,Bot,,,,,,,8.613870138836658,-144.73189290065858,-5.96807611673368,-7.066397281278456,35.529849184874955,-17.570900652020818,3.58,1.58,,,,100.1,2563.0,6.8,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.75,,0.0,0.0,1.0,0.0,0.0,,7,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,211.0,-0.056,-0.32,,,,0.32,,0,0,0.556,0.556,30,26,31,26,1,0,4.0,1.0,,,1.36,0.35,0.35,30.1,,,,,
